6E 972,A 320,1234567,WEST BENGAL,ANDAMAN,16-Dec-2019,21-Mar-2020,96,7,97
6E 282,A 320,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
6E 972,A 320,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
6E 282,A 320,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
AI 787,A 319,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
AI 3707,A 319,4,WEST BENGAL,ANDAMAN,31-Oct-2019,26-Mar-2020,147,1,21.14285714
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,02-Nov-2019,02-Nov-2019,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,16-Nov-2019,16-Nov-2019,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,07-Dec-2019,07-Dec-2019,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,21-Dec-2019,21-Dec-2019,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,04-Jan-2020,04-Jan-2020,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,18-Jan-2020,18-Jan-2020,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,01-Feb-2020,01-Feb-2020,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,15-Feb-2020,15-Feb-2020,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,07-Mar-2020,07-Mar-2020,0,1,0.1428571429
AI 3709,A 319,6,WEST BENGAL,ANDAMAN,21-Mar-2020,21-Mar-2020,0,1,0.1428571429
AI 3709,A 320,7,WEST BENGAL,ANDAMAN,03-Nov-2019,03-Nov-2019,0,1,0.1428571429
AI 3709,A 320,7,WEST BENGAL,ANDAMAN,17-Nov-2019,17-Nov-2019,0,1,0.1428571429
AI 787,A 319,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
AI 3707,A 319,4,WEST BENGAL,ANDAMAN,07-Nov-2019,28-Nov-2019,21,1,3.142857143
UK 747,A 320,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
UK 763,A 320,1234567,WEST BENGAL,ANDAMAN,15-Nov-2019,28-Mar-2020,134,7,135
UK 747,A 320,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,28-Mar-2020,153,7,154
SG 263,B 737,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,30-Nov-2019,34,7,35
SG 263,B 737,36,WEST BENGAL,ANDAMAN,04-Dec-2019,26-Feb-2020,84,2,24.28571429
SG 263,B 737,12457,WEST BENGAL,ANDAMAN,01-Dec-2019,28-Feb-2020,89,5,64.28571429
SG 263,B 737,1234567,WEST BENGAL,ANDAMAN,01-Mar-2020,28-Mar-2020,27,7,28
A 320,,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,29-Feb-2020,125,7,126
A 320,,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,29-Feb-2020,125,7,126
SG 263,B 738,1234567,WEST BENGAL,ANDAMAN,01-Mar-2020,28-Mar-2020,27,7,28
SG 263,B 738,1234567,WEST BENGAL,ANDAMAN,27-Oct-2019,30-Nov-2019,34,7,35
AI 486,A 320,2357,ANDAMAN,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,4,87.42857143
AI 488,A 320,5,ANDAMAN,ANDHRA PRADESH,01-Nov-2019,27-Mar-2020,147,1,21.14285714
AI 488,A 320,1,ANDAMAN,ANDHRA PRADESH,28-Oct-2019,23-Mar-2020,147,1,21.14285714
AI 486,A 320,2357,ANDAMAN,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,4,87.42857143
AI 488,A 320,15,ANDAMAN,ANDHRA PRADESH,28-Oct-2019,27-Mar-2020,151,2,43.42857143
6E 7923,ATR 72,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7967,ATR 72,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7967,ATR 72,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
6E 7923,ATR 72,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 542,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 544,A 320,2357,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,4,87.42857143
AI 544,A 320,146,ANDHRA PRADESH,ANDHRA PRADESH,28-Oct-2019,28-Mar-2020,152,3,65.57142857
AI 541,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 840,A 320,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 541,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 460,A 320,257,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 459,A 320,257,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 542,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 459,A 319,257,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 460,A 320,257,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,27-Mar-2020,152,3,65.57142857
AI 951,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,28-Mar-2020,153,7,154
AI 952,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-Oct-2019,06-Dec-2019,40,7,41
AI 952,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,07-Dec-2019,20-Dec-2019,13,7,14
AI 952,A 321,1234567,ANDHRA PRADESH,ANDHRA PRADESH,21-Dec-2019,28-Mar-2020,98,7,99
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
ATR 72,,1234567,ANDHRA PRADESH,ANDHRA PRADESH,27-10-19,28-03-20,153,7,154
